Station ID#,Name,Basin,Catchment area (km2),Latitude,Longitude,Station elevation (m.a.s.l.),Start year,End year,Continuous permafrost (%),Discontinuous permafrost (%),Sporadic permafrost (%),Isolated permafrost (%),No permafrost (%),Primary permafrost type,Prior primary permafrost type
10478,Vasyugan at Sredny Vasyugan,Ob,31434.00,59.22,78.22,52.6,1937,2002,0,0,0,0.5,99.5,No permafrost,No permafrost
10489,Tim at Napas,Ob,24523.00,59.85,81.95,60.6,1938,2002,0,0,0,95.3,4.7,Isolated,Isolated
10505,Bol'shoy Yugan at Ugut,Ob,19451.00,60.5,74.02,31.4,1945,1994,0,0,0,2.7,97.3,No permafrost,Isolated
10524,Kulunda at Shimolino,Ob,12300.00,52.97,80.18,93.3,1936,2002,0,0,0,0,100,No permafrost,No permafrost
10549,Kargat at Zdvinsk,Ob,6440.00,54.7,78.67,103.9,1941,2002,0,0,0,0,100,No permafrost,No permafrost
11309,Om' at Kuibyshev,Ob,12200.00,55.45,78.32,104.2,1938,2002,0,0,0,0,100,No permafrost,No permafrost
11353,Tara at Muromtsevo,Ob,16400.00,56.38,75.25,61.1,1941,1999,0,0,0,0,100,No permafrost,No permafrost
11496,Balakhley at Balakhley,Ob,2140.00,57.13,69.22,57.7,1953,1998,0,0,0,0,100,No permafrost,No permafrost
11548,Lyapin at Saran-Paul,Ob,18861.00,64.25,60.95,13.6,1952,1994,53.5,42.2,4.3,0,0,Continuous,Discontinuous
11556,SOb’' at Harp,Ob,1219.00,66.87,65.78,69.1,1952,1998,100,0,0,0,0,Continuous,Continuous
11558,Poluy at Poluy,Ob,15230.00,66.03,68.73,5.7,1953,1998,0,100,0,0,0,Discontinuous,Discontinuous
11574,Pyaku-Pur at Tarko-Sale,Ob,31152.00,64.93,77.8,15.3,1954,1998,0,79.3,20.7,0,0,Discontinuous,Discontinuous
11805,Nadym at Nadym,Ob,48789.00,65.62,72.67,7.6,1955,1991,0,90.1,9.9,0,0,Discontinuous,Discontinuous
12155,Sinara at Verkhvekluchevskoye,Ob,5000.00,56.25,62.27,98.3,1936,1993,0,0,0,0,100,No permafrost,
12430,Sosva at Denezhkino,Ob,4401.00,60.22,60.42,110.8,1933,1993,0,0,4,0.1,95.8,No permafrost,No permafrost
12517,LOb’va at LOb’va,Ob,2900.00,59.15,60.52,82.3,1939,1993,0,0,29.5,0,70.5,No permafrost,No permafrost
49017,Tumcha at Alakurtty,N. European Russia,2099.00,66.9,30.33,131.1,1958,1991,0,3.1,0,0,96.9,No permafrost,No permafrost
49025,Keret at zh/d most,N. European Russia,2560.00,66.2,32.9,66.1,1956,1988,0,0,0,0,100,No permafrost,
49030,Kuzema at Kuzema,N. European Russia,882.00,65.38,34.23,0,1958,1987,0,0,0,0,100,No permafrost,
49031,Pongoma at Pongoma,N. European Russia,1220.00,65.33,34.38,5.6,1940,1988,0,0,0,0,100,No permafrost,
49033,Pueta at Kem,N. European Russia,48.00,64.95,34.62,1,1956,1988,0,0,0,0,100,No permafrost,No permafrost
49036,Kem at Yushkozero,N. European Russia,19800.00,64.78,32.17,88.1,1936,1987,0,0,0,0,100,No permafrost,No permafrost
49041,Kem at Putkinskaya GES,N. European Russia,27700.00,64.93,34.48,,1936,1988,0,0,0,0,100,No permafrost,
49052,Ukhta at Kalevala,N. European Russia,361.00,65.22,31.15,114.3,1953,1988,0,0,0,0,100,No permafrost,No permafrost
49055,Chirko-Kem at Andronova Gova,N. European Russia,2730.00,64.15,32.38,135.5,1932,1988,0,0,0,0,100,No permafrost,No permafrost
49070,Shuya at Shuyeretskoye,N. European Russia,934.00,64.75,34.7,0.2,1935,1988,0,0,0,0,100,No permafrost,No permafrost
49123,Suma at Sumskiy Posad,N. European Russia,1990.00,64.25,35.43,3.6,1932,1988,0,0,0,0,100,No permafrost,No permafrost
49125,Nyukhcha at Nyukhcha,N. European Russia,1350.00,63.92,36.22,4,1956,1988,0,0,0,0,100,No permafrost,
49126,Maloshuika at Maloshuika,N. European Russia,481.00,63.75,37.4,22,1950,1988,0,0,0,0,100,No permafrost,No permafrost
